Project #	Project Name	Sample #	Sample Name	Naphthalene	2-methylnaphthalene	1-methylnaphthalene	2-ethylnaphthalene	"2,6-dimethylnaphthalene"	"1,4-dimethylnaphthalene"	"1,5-dimethylnaphthalene"	"1,2-dimethylnaphthalene"	"2,6-diethylnaphthalene"	fluorene	dibenzothiophene	phenanthrene	2-methylphenanthrene	1-methylphenanthrene	"3,6-dimethylphenanthrene"	fluoranthene	pyrene	retene	1-methylpyrene	triphenylene	chrysene	benzo[b]fluoranthene	benzo[k]fluoranthene	benzo[e]pyrene	benzo[ghi]perylene	benzo[b]perylene	
F15-01	Dysphagic Foal 2015	A150051(1)	15Jan_NY_water	26.44924709	5.274261603	2.566807314	0.276763406	0.947381897	0.088977084	0.092177698	0.158110357	0.004753894	0.217178128	0.02621296	0.397800595	0.109752926	0.069180754	0.002147566	0.185899337	0.60815822	0.049502838	0.012853708	0.017302554	0.002409322	0.001601268	0.002540626	0.014229092	0.001914378	0.01309697	
F15-01	Dysphagic Foal 2015	A150142(1)	15Jan_PA_water	23.64047749	2.876230661	0.017862166	0.017169582	0.017923441	0.022276277	0.020996031	0.018947638	0.005589624	0.631681536	0.105286009	1.256803007	0.163849155	0.105071521	0.033934458	0.919608425	5.735475896	0.005761106	0.002205474	0.094616497	0.002882425	0.001914388	0.003043995	0.004716607	0.002294358	0.211337479	
F15-01	Dysphagic Foal 2015	A150151(1)	15Feb_PA_Water	16.930639	2.489451477	0.018424754	0.020180665	0.02067597	0.026181027	0.024772756	0.021892203	0.007651815	0.485492381	0.164984261	1.688829041	0.345383615	0.247594278	0.051871243	1.137150203	6.576019778	0.008022874	0.003033105	0.125717289	0.003995094	0.002655569	0.004240983	0.013832739	0.003191836	0.021828284	
F15-01	Dysphagic Foal 2015	A150160(1)	15Feb_NY_Water	22.39213545	2.320675105	1.068917018	0.138381703	0.268211497	0.033222379	0.02374856	0.017155294	0.004140663	0.191910867	0.060240964	0.317006116	0.093628088	0.065019506	0.001861547	0.233362998	0.805933251	0.01984381	0.001604402	0.001638267	0.002072017	0.00137931	0.002179945	0.003388823	0.001642963	0.150482868	
F15-01	Dysphagic Foal 2015	A150175(1)	15Mar_PA_Water	26.68331123	4.451476793	0.017791842	0.016272663	0.017155294	0.021188068	0.019971835	0.01817949	0.004992674	1.269379087	0.126451753	1.009930988	0.136280884	0.113394018	0.03102579	0.731731435	4.652657602	0.005078308	0.001951174	0.095054536	0.002540739	0.001688466	0.00267935	0.015497424	0.002019325	0.181902368	
F15-01	Dysphagic Foal 2015	A150183(1)	15Mar_NY_water	52.82047281	7.876230661	3.663853727	0.239605356	0.553706312	0.050505697	0.058315197	0.01593906	0.002669995	0.374797712	0.050634972	0.230039836	0.06189857	0.030845254	0.001163467	0.101354692	0.385166873	0.007937524	0.000998705	0.001020632	0.001265989	0.00084027	0.001319857	0.002041221	0.000987949	0.088966795	
F15-01	Dysphagic Foal 2015	A150248(1)	15May_NY_Water	92.84543965	12.58790436	5.344585091	0.352360817	0.716937652	0.067853028	0.059403405	0.144667776	0.003619689	0.397658567	0.05861283	0.276608876	0.078543563	0.044109233	0.001614311	0.107782063	0.378244747	0.01843554	0.001391714	0.001419247	0.001787279	0.001189061	0.001878716	0.002917162	0.001411356	0.127662389	
F15-01	Dysphagic Foal 2015	A150249(1)	15May_PA_Water	28.5558243	3.094233474	0.017791842	0.015952335	0.016899245	0.020803994	0.019587761	0.017859429	0.004753894	0.968578356	0.159014436	1.189474275	0.17893368	0.13159948	0.043920884	1.092653021	7.367119901	0.004822259	0.01664509	0.130535722	0.002409322	0.001601268	0.002540626	0.023424495	0.001914378	0.172311152	
F15-01	Dysphagic Foal 2015	A150409(1)	15Jun_NY_water	83.48287431	15.54149086	7.032348805	0.364533282	0.915375752	0.077454871	0.078094994	0.185635642	0.003174689	0.498727613	0.046944535	0.250799529	0.059297789	0.033081925	0.001405856	0.164639573	0.662546354	0.01536295	0.001206769	0.001235271	0.001541966	0.001026556	0.001617122	0.002508918	0.001215937	0.109141421	
F15-01	Dysphagic Foal 2015	A150419(1)	15Jun_PA_Water	18.72513069	0.04556962	0.017721519	0.015567942	0.016579183	0.020355908	0.019075663	0.017539368	0.229011776	0.018769966	0.102572452	1.122145542	0.149804941	0.112353706	0.043484584	1.265697617	7.070457355	0.00448086	0.001733864	0.130535722	0.002251621	0.001498216	0.002370194	0.017756639	0.020229436	0.012203995	
